Summary Data For Electricity Generation by Source Having Year : ALL
.
EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
COAL,NON-RENEWABLE,2013,807006.810,0.000
HYDRO,NON-RENEWABLE,2013,113838.470,0.000
NATURAL GAS,NON-RENEWABLE,2013,87604.830,0.000
DIESEL,NON-RENEWABLE,2013,10489.970,0.000
SMALL HYDRO,RENEWABLE,2013,6950.847,0.000
WIND,RENEWABLE,2013,25355.877,0.000
BIOMASS-BAGASSE,RENEWABLE,2013,12259.323,0.000
WASTE,RENEWABLE,2013,186.469,0.000
SOLAR,RENEWABLE,2013,2337.616,0.000
COAL,NON-RENEWABLE,2014,866133.370,0.000
HYDRO,NON-RENEWABLE,2014,134976.590,0.000
NATURAL GAS,NON-RENEWABLE,2014,64433.820,0.000
DIESEL,NON-RENEWABLE,2014,10734.650,0.000
SMALL HYDRO,RENEWABLE,2014,7250.989,0.000
WIND,RENEWABLE,2014,28348.830,0.000
BIOMASS-BAGASSE,RENEWABLE,2014,13514.885,0.000
WASTE,RENEWABLE,2014,187.639,0.000
SOLAR,RENEWABLE,2014,3581.522,0.000
COAL,NON-RENEWABLE,2015,965646.050,0.000
HYDRO,NON-RENEWABLE,2015,129388.380,0.000
NATURAL GAS,NON-RENEWABLE,2015,62210.330,0.000
DIESEL,NON-RENEWABLE,2015,11126.990,0.000
SMALL HYDRO,RENEWABLE,2015,7758.460,0.000
WIND,RENEWABLE,2015,31930.113,0.000
BIOMASS-BAGASSE,RENEWABLE,2015,14670.772,0.000
WASTE,RENEWABLE,2015,188.737,0.000
SOLAR,RENEWABLE,2015,4925.094,0.000
COAL,NON-RENEWABLE,2016,1033386.150,0.000
HYDRO,NON-RENEWABLE,2016,121486.840,0.000
NATURAL GAS,NON-RENEWABLE,2016,68205.390,0.000
DIESEL,NON-RENEWABLE,2016,8818.070,0.000
BIOMASS-BAGASSE,RENEWABLE,2016,16680.499,0.000
SMALL HYDRO,RENEWABLE,2016,8354.510,0.000
SOLAR,RENEWABLE,2016,7478.543,0.000
WASTE,RENEWABLE,2016,268.532,0.000
WIND,RENEWABLE,2016,35044.847,0.000
RENEWABLES,RENEWABLE,2006,6642.790,0.000
WIND,RENEWABLE,2006,220.620,0.000
RENEWABLES,RENEWABLE,2007,9860.110,0.000
WIND,RENEWABLE,2007,215.880,0.000
NUCLEAR,NON-RENEWABLE,2017,37915.870,87.660
NUCLEAR,NON-RENEWABLE,2018,38346.120,94.340
NUCLEAR,NON-RENEWABLE,2019,37812.590,82.030
NUCLEAR,NON-RENEWABLE,2020,46472.450,98.090
NUCLEAR,NON-RENEWABLE,2006,17238.890,0.000
NUCLEAR,NON-RENEWABLE,2007,18606.750,26.560
NUCLEAR,NON-RENEWABLE,2008,16776.910,17.440
NUCLEAR,NON-RENEWABLE,2009,14712.590,19.210
NUCLEAR,NON-RENEWABLE,2010,18636.440,21.210
NUCLEAR,NON-RENEWABLE,2011,26266.400,48.940
NATURAL GAS,NON-RENEWABLE,2012,115436.010,89.820
NUCLEAR,NON-RENEWABLE,2012,32286.560,51.330
NUCLEAR,NON-RENEWABLE,2013,32866.110,65.930
NUCLEAR,NON-RENEWABLE,2014,34227.790,70.140
NUCLEAR,NON-RENEWABLE,2015,36101.540,74.990
NUCLEAR,NON-RENEWABLE,2016,37413.620,88.810
DIESEL,NON-RENEWABLE,2012,8705.610,0.000
LIGNITE,NON-RENEWABLE,2006,18120.300,0.000
LIGNITE,NON-RENEWABLE,2007,17544.500,0.000
LIGNITE,NON-RENEWABLE,2008,22147.520,74.500
LIGNITE,NON-RENEWABLE,2009,20397.200,0.000
LIGNITE,NON-RENEWABLE,2010,21277.580,85.920
LIGNITE,NON-RENEWABLE,2011,23483.000,67.320
LIGNITE,NON-RENEWABLE,2012,24394.180,71.000
NAPHTHA,NON-RENEWABLE,2017,26.380,0.000
NAPHTHA,NON-RENEWABLE,2018,52.960,0.000
NAPHTHA,NON-RENEWABLE,2019,0.860,0.000
RENEWABLES,RENEWABLE,2012,1178.180,0.000
