Summary Data For Electricity Energy Demand & Deficit by State Having Year : ALL Region : ALL
.
YearValue,State,EnergyRequirement_MU,EnergyAvailability_MU
2018,ASSAM,9094.000,8779.000
2019,ASSAM,9566.000,9238.000
2020,ASSAM,9804.000,9288.000
2008,ARUNACHAL PRADESH,391.000,302.000
2009,ARUNACHAL PRADESH,426.000,271.000
2010,ARUNACHAL PRADESH,399.000,325.000
2011,ARUNACHAL PRADESH,511.000,436.000
2012,ARUNACHAL PRADESH,600.000,553.000
2013,ARUNACHAL PRADESH,589.000,554.000
2014,ARUNACHAL PRADESH,552.000,517.000
2015,ARUNACHAL PRADESH,677.000,610.000
2016,ARUNACHAL PRADESH,625.000,591.000
2017,ARUNACHAL PRADESH,729.000,714.000
2018,ARUNACHAL PRADESH,799.000,788.000
2019,ARUNACHAL PRADESH,869.000,859.000
2020,ARUNACHAL PRADESH,753.000,749.000
2008,MEGHALAYA,1620.000,1232.000
2009,MEGHALAYA,1713.000,1386.000
2010,MEGHALAYA,1550.000,1327.000
2011,MEGHALAYA,1545.000,1352.000
2012,MEGHALAYA,1927.000,1450.000
2013,MEGHALAYA,1828.000,1607.000
2014,MEGHALAYA,1794.000,1604.000
2015,MEGHALAYA,1930.000,1634.000
2016,MEGHALAYA,1832.000,1724.000
2017,MEGHALAYA,1715.000,1715.000
2018,MEGHALAYA,1557.000,1553.000
2019,MEGHALAYA,1957.000,1956.000
2020,MEGHALAYA,2112.000,2064.000
2008,NAGALAND,377.000,334.000
2009,NAGALAND,475.000,436.000
2010,NAGALAND,530.000,466.000
2011,NAGALAND,583.000,520.000
2012,NAGALAND,560.000,511.000
2013,NAGALAND,567.000,535.000
2014,NAGALAND,577.000,561.000
2015,NAGALAND,688.000,661.000
2016,NAGALAND,755.000,738.000
2017,NAGALAND,757.000,745.000
2018,NAGALAND,794.000,774.000
2019,NAGALAND,888.000,795.000
2020,NAGALAND,814.000,809.000
2008,GUJARAT,68747.000,57614.000
2009,GUJARAT,67482.000,60851.000
2010,GUJARAT,70369.000,67220.000
2011,GUJARAT,71651.000,67534.000
2012,GUJARAT,74696.000,74429.000
2013,GUJARAT,93662.000,93513.000
2014,GUJARAT,88497.000,88488.000
2015,GUJARAT,96235.000,96211.000
2016,GUJARAT,103544.000,103540.000
2017,GUJARAT,103706.000,103705.000
2018,GUJARAT,109984.000,109973.000
2019,GUJARAT,116372.000,116356.000
2020,GUJARAT,113940.000,113939.000
2008,JAMMU & KASHMIR,11782.000,8362.000
2009,JAMMU & KASHMIR,11467.000,8698.000
2010,JAMMU & KASHMIR,13200.000,9933.000
2011,JAMMU & KASHMIR,13571.000,10181.000
2012,JAMMU & KASHMIR,14250.000,10889.000
2013,JAMMU & KASHMIR,15410.000,11558.000
2014,JAMMU & KASHMIR,15613.000,12187.000
2015,JAMMU & KASHMIR,16214.000,13119.000
2016,JAMMU & KASHMIR,16572.000,14037.000
2017,JAMMU & KASHMIR,17398.000,14194.000
2018,JAMMU & KASHMIR,18808.000,15050.000
2019,JAMMU & KASHMIR,18988.000,15616.000
2020,JAMMU & KASHMIR,20025.000,16259.000
2008,KERALA,15663.000,15284.000
2009,KERALA,17645.000,15562.000
2010,KERALA,17619.000,17196.000
2011,KERALA,18023.000,17767.000
2012,KERALA,19890.000,19467.000
2013,KERALA,21243.000,20391.000
2014,KERALA,21577.000,21052.000
2015,KERALA,22459.000,22127.000
2016,KERALA,23318.000,23194.000
2017,KERALA,24296.000,24261.000
2018,KERALA,25002.000,24917.000
2019,KERALA,25016.000,24898.000
2020,KERALA,26315.000,26265.000
2008,PUDUCHERRY,1841.000,1841.000
2009,PUDUCHERRY,2020.000,1773.000
2010,PUDUCHERRY,2119.000,1975.000
2011,PUDUCHERRY,2123.000,2039.000
2012,PUDUCHERRY,2167.000,2136.000
2013,PUDUCHERRY,2331.000,2291.000
2014,PUDUCHERRY,2344.000,2320.000
2015,PUDUCHERRY,2402.000,2376.000
2016,PUDUCHERRY,2437.000,2429.000
2017,PUDUCHERRY,2548.000,2545.000
2018,PUDUCHERRY,2668.000,2661.000
2019,PUDUCHERRY,2766.000,2756.000
2020,PUDUCHERRY,2847.000,2846.000
2008,RAJASTHAN,36738.000,35597.000
2009,RAJASTHAN,37797.000,37388.000
2010,RAJASTHAN,44109.000,43062.000
2011,RAJASTHAN,45261.000,44836.000
2012,RAJASTHAN,51474.000,49491.000
2013,RAJASTHAN,55538.000,53868.000
2014,RAJASTHAN,58202.000,58042.000
2015,RAJASTHAN,65717.000,65310.000
2016,RAJASTHAN,67417.000,67205.000
2017,RAJASTHAN,67838.000,67415.000
2018,RAJASTHAN,71194.000,70603.000
2019,RAJASTHAN,79815.000,79626.000
2020,RAJASTHAN,81281.000,81222.000
2008,TAMILNADU,65780.000,63954.000
2009,TAMILNADU,69668.000,64208.000
2010,TAMILNADU,76293.000,71568.000
2011,TAMILNADU,80314.000,75101.000
2012,TAMILNADU,85685.000,76705.000
2013,TAMILNADU,92302.000,76161.000
2014,TAMILNADU,93508.000,87980.000
2015,TAMILNADU,95758.000,92750.000
2016,TAMILNADU,97277.000,96586.000
2017,TAMILNADU,104511.000,104487.000
2018,TAMILNADU,106006.000,105839.000
2019,TAMILNADU,109482.000,109380.000
2020,TAMILNADU,108816.000,108812.000
2008,DELHI,22439.000,22301.000
2009,DELHI,22398.000,22273.000
2010,DELHI,24277.000,24094.000
2011,DELHI,25625.000,25559.000
2012,DELHI,26751.000,26674.000
2013,DELHI,26088.000,25950.000
2014,DELHI,26867.000,26791.000
2015,DELHI,29231.000,29106.000
2016,DELHI,29626.000,29583.000
2017,DELHI,30829.000,30797.000
2018,DELHI,31826.000,31806.000
2019,DELHI,32299.000,32282.000
2020,DELHI,33086.000,33077.000
2008,HARYANA,29353.000,25652.000
2009,HARYANA,29085.000,26625.000
2010,HARYANA,33441.000,32023.000
2011,HARYANA,34552.000,32626.000
2012,HARYANA,36874.000,35541.000
2013,HARYANA,41407.000,38209.000
2014,HARYANA,43463.000,43213.000
2015,HARYANA,46615.000,46432.000
2016,HARYANA,47506.000,47437.000
2017,HARYANA,48895.000,48895.000
2018,HARYANA,50775.000,50775.000
2019,HARYANA,53665.000,53665.000
2020,HARYANA,54505.000,54492.000
2008,HIMACHAL PRADESH,5992.000,5814.000
2009,HIMACHAL PRADESH,6260.000,6241.000
2010,HIMACHAL PRADESH,7047.000,6769.000
2011,HIMACHAL PRADESH,7626.000,7364.000
2012,HIMACHAL PRADESH,8161.000,8107.000
2013,HIMACHAL PRADESH,8992.000,8744.000
2014,HIMACHAL PRADESH,9089.000,8883.000
2015,HIMACHAL PRADESH,8807.000,8728.000
2016,HIMACHAL PRADESH,8821.000,8758.000
2017,HIMACHAL PRADESH,8831.000,8779.000
2018,HIMACHAL PRADESH,9399.000,9346.000
2019,HIMACHAL PRADESH,9850.000,9618.000
2020,HIMACHAL PRADESH,10424.000,10353.000
2008,KARNATAKA,40320.000,39230.000
2009,KARNATAKA,43168.000,40578.000
2010,KARNATAKA,45550.000,42041.000
2011,KARNATAKA,50474.000,46624.000
2012,KARNATAKA,60830.000,54023.000
2013,KARNATAKA,66274.000,57044.000
2014,KARNATAKA,64150.000,58052.000
2015,KARNATAKA,62643.000,59926.000
2016,KARNATAKA,64302.000,60971.000
2017,KARNATAKA,66899.000,66537.000
2018,KARNATAKA,67869.000,67701.000
2019,KARNATAKA,71764.000,71695.000
2020,KARNATAKA,72799.000,72796.000
2008,PUNJAB,42372.000,38795.000
2009,PUNJAB,41635.000,37238.000
2010,PUNJAB,45731.000,39408.000
2011,PUNJAB,44484.000,41799.000
2012,PUNJAB,45191.000,43792.000
2013,PUNJAB,48724.000,46119.000
2014,PUNJAB,47821.000,47084.000
2015,PUNJAB,48629.000,48144.000
2016,PUNJAB,49687.000,49675.000
2017,PUNJAB,53098.000,53098.000
2018,PUNJAB,54812.000,54812.000
2019,PUNJAB,55328.000,55315.000
2020,PUNJAB,56776.000,56770.000
2008,UTTARAKHAND,7047.000,6845.000
2009,UTTARAKHAND,7841.000,7765.000
2010,UTTARAKHAND,8921.000,8338.000
2011,UTTARAKHAND,9850.000,9255.000
2012,UTTARAKHAND,10513.000,10208.000
2013,UTTARAKHAND,11331.000,10709.000
2014,UTTARAKHAND,11944.000,11493.000
2015,UTTARAKHAND,12445.000,12072.000
2016,UTTARAKHAND,12889.000,12675.000
2017,UTTARAKHAND,13069.000,12986.000
2018,UTTARAKHAND,13457.000,13426.000
2019,UTTARAKHAND,13845.000,13753.000
2020,UTTARAKHAND,14472.000,14376.000
2008,GOA,2740.000,2707.000
2009,GOA,1797.000,1576.000
2010,GOA,1934.000,1802.000
2011,GOA,2181.000,1997.000
2012,GOA,2141.000,1915.000
2013,GOA,1991.000,1860.000
2014,GOA,3890.000,3871.000
2015,GOA,3969.000,3932.000
2016,GOA,5120.000,5119.000
2017,GOA,4319.000,4317.000
2018,GOA,4117.000,4117.000
2019,GOA,4295.000,4292.000
2020,GOA,4350.000,4350.000
2008,MANIPUR,530.000,501.000
2009,MANIPUR,556.000,477.000
2010,MANIPUR,524.000,430.000
2011,MANIPUR,568.000,505.000
2012,MANIPUR,544.000,499.000
2013,MANIPUR,574.000,543.000
2014,MANIPUR,579.000,548.000
2015,MANIPUR,705.000,678.000
2016,MANIPUR,840.000,810.000
2017,MANIPUR,764.000,740.000
2018,MANIPUR,874.000,827.000
2019,MANIPUR,905.000,895.000
2020,MANIPUR,924.000,917.000
2008,MIZORAM,288.000,246.000
2009,MIZORAM,330.000,269.000
2010,MIZORAM,352.000,288.000
2011,MIZORAM,369.000,315.000
2012,MIZORAM,397.000,355.000
2013,MIZORAM,406.000,378.000
2014,MIZORAM,446.000,430.000
2015,MIZORAM,455.000,425.000
2016,MIZORAM,471.000,455.000
2017,MIZORAM,514.000,501.000
2018,MIZORAM,497.000,488.000
2019,MIZORAM,643.000,635.000
2020,MIZORAM,647.000,643.000
2008,TRIPURA,777.000,686.000
2009,TRIPURA,800.000,728.000
2010,TRIPURA,855.000,771.000
2011,TRIPURA,882.000,801.000
2012,TRIPURA,949.000,900.000
2013,TRIPURA,1108.000,1054.000
2014,TRIPURA,1195.000,1144.000
2015,TRIPURA,1242.000,1048.000
2016,TRIPURA,1202.000,1146.000
2017,TRIPURA,1644.000,1621.000
2018,TRIPURA,2602.000,2553.000
2019,TRIPURA,1863.000,1841.000
2020,TRIPURA,1538.000,1515.000
2015,A & N ISLANDS,240.000,180.000
2016,A & N ISLANDS,240.000,180.000
2017,A & N ISLANDS,240.000,180.000
2018,A & N ISLANDS,328.000,299.000
2019,A & N ISLANDS,346.000,323.000
2020,A & N ISLANDS,346.000,323.000
2008,DIU & DAMAN,1774.000,1580.000
2009,DIU & DAMAN,3574.000,3457.000
2010,DIU & DAMAN,4007.000,3853.000
2011,DIU & DAMAN,4429.000,4424.000
2012,DIU & DAMAN,4380.000,4349.000
2013,DIU & DAMAN,4572.000,4399.000
2014,DIU & DAMAN,2252.000,2252.000
2015,DIU & DAMAN,2086.000,2086.000
2016,DIU & DAMAN,2337.000,2337.000
2017,DIU & DAMAN,2398.000,2398.000
2018,DIU & DAMAN,2534.000,2534.000
2019,DIU & DAMAN,2558.000,2558.000
2020,DIU & DAMAN,2574.000,2574.000
2015,LAKSHADWEEP,48.000,48.000
2016,LAKSHADWEEP,48.000,48.000
2017,LAKSHADWEEP,48.000,48.000
2018,LAKSHADWEEP,47.000,47.000
2019,LAKSHADWEEP,46.000,46.000
2020,LAKSHADWEEP,46.000,46.000
2008,CHANDIGARH,1446.000,1446.000
2009,CHANDIGARH,1414.000,1414.000
2010,CHANDIGARH,1576.000,1528.000
2011,CHANDIGARH,1519.000,1519.000
2012,CHANDIGARH,1568.000,1564.000
2013,CHANDIGARH,1637.000,1637.000
2014,CHANDIGARH,1574.000,1574.000
2015,CHANDIGARH,1616.000,1616.000
2016,CHANDIGARH,1607.000,1607.000
2017,CHANDIGARH,1645.000,1645.000
2018,CHANDIGARH,1610.000,1601.000
2019,CHANDIGARH,1571.000,1571.000
2020,CHANDIGARH,1732.000,1732.000
2008,DADRA & NAGAR HAVELI,3388.000,3372.000
2009,DADRA & NAGAR HAVELI,2801.000,2754.000
2010,DADRA & NAGAR HAVELI,3092.000,3026.000
2011,DADRA & NAGAR HAVELI,3154.000,3089.000
2012,DADRA & NAGAR HAVELI,3024.000,2981.000
2013,DADRA & NAGAR HAVELI,3181.000,3107.000
2014,DADRA & NAGAR HAVELI,5390.000,5388.000
2015,DADRA & NAGAR HAVELI,5307.000,5304.000
2016,DADRA & NAGAR HAVELI,5925.000,5925.000
2017,DADRA & NAGAR HAVELI,6021.000,6021.000
2018,DADRA & NAGAR HAVELI,6168.000,6168.000
2019,DADRA & NAGAR HAVELI,6303.000,6302.000
2020,DADRA & NAGAR HAVELI,6528.000,6528.000
2008,DVC,13387.000,13039.000
2009,DVC,14002.000,13699.000
2010,DVC,15199.000,14577.000
2011,DVC,16590.000,15071.000
2012,DVC,16648.000,16009.000
2013,DVC,17299.000,16339.000
2014,DVC,17407.000,17296.000
2015,DVC,18222.000,17728.000
2016,DVC,18437.000,18234.000
2017,DVC,18929.000,18791.000
2018,DVC,21549.000,21373.000
2019,DVC,22745.000,22372.000
2020,DVC,22429.000,22427.000
